noise_type,alpha,contrast,noise_mult,PC_mean,PC_sem,dPC_mean,dPC_sem
pink,1.0,0.04,0.0,0.5125203727324263,0.0015809391319837791,0.0,0.0
pink,1.0,0.04,0.25,0.5127152423469388,0.002298575680272109,0.00019486961451246586,0.002708065495751773
pink,1.0,0.04,0.5,0.5161033163265306,0.0024742741247822256,0.0035829435941043017,0.0028515936268671727
pink,1.0,0.04,0.65,0.5160501700680272,0.002815930310364614,0.0035297973356009055,0.0035321790559457683
pink,1.0,0.04,0.75,0.5186543367346939,0.002898989159041252,0.006133964002267568,0.0032355622874566557
pink,1.0,0.04,0.85,0.5183620323129251,0.002937794594862534,0.005841659580498858,0.003202495436213503
pink,1.0,0.04,1.0,0.5211522108843537,0.002350595689039554,0.00863183815192743,0.0028827001834251754
pink,1.0,0.04,1.25,0.5163424744897959,0.0021769026885857527,0.00382210175736961,0.0026157651695999924
pink,1.0,0.04,1.5,0.515438988095238,0.0025584386226831786,0.002918615362811786,0.003116258863384898
pink,1.0,0.04,2.0,0.5092075892857143,0.0023935107896046015,-0.0033127834467120286,0.002767471775324978
