noise_type,alpha,contrast,noise_mult,PC_mean,PC_sem,dPC_mean,dPC_sem
pink,1.0,0.04,0.0,0.5125336592970523,0.001550713061172193,0.0,0.0
pink,1.0,0.04,0.25,0.5114928784013606,0.0031239912935490852,-0.001040780895691618,0.003757970245741503
pink,1.0,0.04,0.5,0.5161963222789115,0.002392428808658677,0.0036626629818594,0.0031236174240297544
pink,1.0,0.04,0.65,0.5202088647959184,0.002567646518374079,0.00767520549886621,0.0029252805769821753
pink,1.0,0.04,0.75,0.5169005102040816,0.002971461288856179,0.0043668509070294665,0.0038884665875661448
pink,1.0,0.04,0.85,0.5195843962585034,0.002536355248866519,0.007050736961451239,0.0030365603536573966
pink,1.0,0.04,1.0,0.5212717899659864,0.002800968858218126,0.008738130668934235,0.00294428940273846
pink,1.0,0.04,1.25,0.5169669430272109,0.0024401443027796247,0.004433283730158719,0.002730162879055434
pink,1.0,0.04,1.5,0.5132865646258503,0.002457842382762493,0.0007529053287981767,0.0029171471092508615
pink,1.0,0.04,2.0,0.5074006164965987,0.0026993561642196487,-0.00513304280045352,0.0032080410110783444
