noise_type,alpha,contrast,noise_mult,PC_mean,PC_sem,dPC_mean,dPC_sem
pink,1.0,0.04,0.0,0.5116788903061225,0.0012759189362510936,0.0,0.0
pink,1.0,0.04,0.25,0.5109348426870749,0.002578294011741291,-0.0007440476190476187,0.003066833836104181
pink,1.0,0.04,0.5,0.5186144770408164,0.0021964078481521675,0.006935586734693881,0.0026270863118550355
pink,1.0,0.04,0.65,0.5154655612244897,0.003029157049945605,0.0037866709183673425,0.0035717318798206337
pink,1.0,0.04,0.75,0.5183886054421769,0.002697542119498511,0.0067097151360544175,0.0029736653586324283
pink,1.0,0.04,0.85,0.5164620535714285,0.0024627559392902884,0.0047831632653061165,0.0030622010005604866
pink,1.0,0.04,1.0,0.5187606292517007,0.003096767314980075,0.007081738945578235,0.0034612752316883384
pink,1.0,0.04,1.25,0.5165019132653061,0.002885967797388099,0.00482302295918367,0.0029000961863806557
pink,1.0,0.04,1.5,0.5109215561224489,0.0026626940714128957,-0.0007573341836734637,0.0030857366328575974
pink,1.0,0.04,2.0,0.5151333971088435,0.002494927694525284,0.0034545068027210892,0.002732683462192008
