noise_type,alpha,contrast,noise_mult,PC_mean,PC_sem,dPC_mean,dPC_sem
violet,-2.0,0.04,0.0,0.5140527565192744,0.0014101718963675642,0.0,0.0
violet,-2.0,0.04,0.25,0.5090215773809524,0.0027455140800245635,-0.005031179138321999,0.002982378207060336
violet,-2.0,0.04,0.5,0.5123565051020408,0.0024999757937053356,-0.001696251417233564,0.0027429287126294857
violet,-2.0,0.04,0.65,0.5185347576530611,0.003012607062554427,0.004482001133786839,0.0033808308731017207
violet,-2.0,0.04,0.75,0.5244472789115646,0.002801076524916728,0.010394522392290242,0.0032175435083443378
violet,-2.0,0.04,0.85,0.5228794642857144,0.0023653366015622774,0.008826707766439904,0.002673628226698383
violet,-2.0,0.04,1.0,0.5202088647959183,0.002138122291324462,0.0061561082766439824,0.002874516035033973
violet,-2.0,0.04,1.25,0.5205410289115646,0.0023891445207171384,0.00648827239229024,0.002729599888358753
violet,-2.0,0.04,1.5,0.5119977678571429,0.002398550002778005,-0.0020549886621315243,0.0026624738344281254
violet,-2.0,0.04,2.0,0.510297087585034,0.0025534096022968044,-0.0037556689342403663,0.0029342850086210453
brown,2.0,0.04,0.0,0.5138047406462585,0.0015067333243949843,0.0,0.0
brown,2.0,0.04,0.25,0.5133928571428571,0.002341830043157398,-0.0004118835034013643,0.0024915584170427567
brown,2.0,0.04,0.5,0.5185746173469388,0.0026387520980675635,0.004769876700680276,0.003086368386517997
brown,2.0,0.04,0.65,0.5180165816326531,0.0024475905289140657,0.004211840986394555,0.002962980731450848
brown,2.0,0.04,0.75,0.5119844812925171,0.002440994211213424,-0.0018202593537414962,0.0026829840839850297
brown,2.0,0.04,0.85,0.5185480442176871,0.002639709432199553,0.0047433035714285685,0.0029276090283264704
brown,2.0,0.04,1.0,0.5165019132653061,0.002777785845315003,0.002697172619047612,0.0032224297043705707
brown,2.0,0.04,1.25,0.5136851615646258,0.0024962245632607523,-0.00011957908163265986,0.003002368243149125
brown,2.0,0.04,1.5,0.5129411139455782,0.002360045715860803,-0.000863626700680274,0.0029168820614573323
brown,2.0,0.04,2.0,0.5048894557823129,0.002468465879456087,-0.008915284863945588,0.002921274516616276
