noise_type,alpha,contrast,noise_mult,PC_mean,PC_sem,dPC_mean,dPC_sem
violet,-2.0,0.04,0.0,0.5125513747165533,0.0013867302630511994,0.0,0.0
violet,-2.0,0.04,0.25,0.515279549319728,0.002912976398537183,0.0027281746031746095,0.0036129284538711135
violet,-2.0,0.04,0.5,0.5189732142857144,0.0027028458951994703,0.006421839569160998,0.00297466231016989
violet,-2.0,0.04,0.65,0.5161298894557823,0.002133929757287447,0.003578514739229025,0.002545162846819293
violet,-2.0,0.04,0.75,0.5140040391156462,0.0026611950256023595,0.0014526643990929778,0.0029706901039852104
violet,-2.0,0.04,0.85,0.5193585246598639,0.002407906527777497,0.006807149943310657,0.0027817457313068323
violet,-2.0,0.04,1.0,0.523796237244898,0.002622170095539495,0.011244862528344677,0.0030020988770229663
violet,-2.0,0.04,1.25,0.5114928784013606,0.002564106174874746,-0.0010584963151927399,0.00279258616190618
violet,-2.0,0.04,1.5,0.5137515943877551,0.0021602315670054212,0.0012002196712018176,0.00236770657535839
violet,-2.0,0.04,2.0,0.5092075892857144,0.002636763858321212,-0.003343785430839001,0.003179315561033304
brown,2.0,0.04,0.0,0.5113068664965986,0.001493645396444117,0.0,0.0
brown,2.0,0.04,0.25,0.5121572066326531,0.0024837688817162568,0.0008503401360544278,0.002504772277219318
brown,2.0,0.04,0.5,0.5138313137755102,0.002712797435451952,0.0025244472789115705,0.0030591113508857686
brown,2.0,0.04,0.65,0.5139907525510204,0.002888063361469772,0.0026838860544217747,0.003226358715337632
brown,2.0,0.04,0.75,0.5129145408163265,0.002133007500857276,0.0016076743197278927,0.002478534779333496
brown,2.0,0.04,0.85,0.5173655399659864,0.002689503943452004,0.006058673469387765,0.003047498172039656
brown,2.0,0.04,1.0,0.5193452380952381,0.0025234739086722633,0.008038371598639462,0.0030677931843927915
brown,2.0,0.04,1.25,0.5149606717687074,0.0023611799188554355,0.0036538052721088532,0.002779136283267971
brown,2.0,0.04,1.5,0.5114131590136055,0.002742696890395521,0.00010629251700681254,0.00333034598279574
brown,2.0,0.04,2.0,0.5112935799319728,0.0028394469374679867,-1.3286564625842787e-05,0.0032243020376167457
