noise_type,alpha,contrast,noise_mult,PC_mean,PC_sem,dPC_mean,dPC_sem
pink,1.0,0.04,0.0,0.5123653628117913,0.001395081962853011,0.0,0.0
pink,1.0,0.04,0.25,0.5120907738095238,0.0028158950465936488,-0.00027458900226757355,0.0032029201908591676
pink,1.0,0.04,0.5,0.5140571853741497,0.0024160610999478913,0.001691822562358284,0.002886099761598677
pink,1.0,0.04,0.65,0.5152662627551021,0.0022799157086362126,0.002900899943310653,0.0027001234233141715
pink,1.0,0.04,0.75,0.5172326743197279,0.002595509230168671,0.004867311507936511,0.0028156319329962925
pink,1.0,0.04,0.85,0.5167277848639457,0.0025313317537711197,0.004362422052154195,0.0028450918848823134
pink,1.0,0.04,1.0,0.5183886054421768,0.002411477927427553,0.006023242630385498,0.0025984207363521157
pink,1.0,0.04,1.25,0.5184018920068026,0.0024769675061386484,0.006036529195011344,0.002878281941214961
pink,1.0,0.04,1.5,0.5132865646258503,0.002098646424756928,0.0009212018140589548,0.0025330057458355865
pink,1.0,0.04,2.0,0.511373299319728,0.002486576221329307,-0.0009920634920634976,0.0028240677703605184
