noise_type,alpha,contrast,noise_mult,PC_mean,PC_sem,dPC_mean,dPC_sem
pink,1.0,0.04,0.0,0.5112625779478458,0.0014365030215454982,0.0,0.0
pink,1.0,0.04,0.25,0.5102040816326532,0.0025277827420149006,-0.0010584963151927444,0.0027300868424247437
pink,1.0,0.04,0.5,0.5130208333333333,0.0028199879194610185,0.0017582553854875319,0.0032426371434523325
pink,1.0,0.04,0.65,0.5172459608843537,0.0023337454585557224,0.005983382936507937,0.0029249883249705803
pink,1.0,0.04,0.75,0.5182158801020408,0.0025001920391261767,0.006953302154195014,0.002920829790249432
pink,1.0,0.04,0.85,0.5211787840136055,0.0023954752403361145,0.009916206065759641,0.0026654210451781705
pink,1.0,0.04,1.0,0.5169270833333333,0.0026625407515640832,0.00566450538548754,0.002615561760311973
pink,1.0,0.04,1.25,0.5151732568027212,0.002644148763247713,0.003910678854875283,0.0030559796657523993
pink,1.0,0.04,1.5,0.5170998086734693,0.002628259978248223,0.005837230725623591,0.0034126496625302414
pink,1.0,0.04,2.0,0.5161431760204082,0.0030294217170109884,0.004880598072562358,0.0036987822845895727
