noise_type,alpha,contrast,noise_mult,PC_mean,PC_sem,dPC_mean,dPC_sem
violet,-2.0,0.04,0.0,0.510500814909297,0.001677247649173314,0.0,0.0
violet,-2.0,0.04,0.25,0.5045307185374149,0.0028583232005541938,-0.00597009637188209,0.0029842873586852724
violet,-2.0,0.04,0.5,0.5132865646258503,0.002419713180145617,0.0027857497165532778,0.0034659558908954093
violet,-2.0,0.04,0.65,0.5162760416666666,0.002409644049113023,0.005775226757369613,0.0029496030772579833
violet,-2.0,0.04,0.75,0.5190396471088435,0.002895193447703838,0.008538832199546475,0.0036910405965301365
violet,-2.0,0.04,0.85,0.5214046556122449,0.0026281130459444254,0.010903840702947833,0.0025932371427522766
violet,-2.0,0.04,1.0,0.5183753188775511,0.0022752635774797654,0.007874503968253961,0.003210383568382077
violet,-2.0,0.04,1.25,0.5208731930272109,0.0023903018432669776,0.010372378117913835,0.002608361316841854
violet,-2.0,0.04,1.5,0.5155851403061223,0.0026055785463295193,0.005084325396825393,0.003366922287655131
violet,-2.0,0.04,2.0,0.5100047831632654,0.0025386177215085477,-0.0004960317460317465,0.0028902319179447697
brown,2.0,0.04,0.0,0.5111119968820862,0.001416977493785147,0.0,0.0
brown,2.0,0.04,0.25,0.5078656462585034,0.0024315199797849325,-0.003246350623582759,0.002751254768561777
brown,2.0,0.04,0.5,0.5135124362244898,0.002957636239957495,0.0024004393424036353,0.003553929413550204
brown,2.0,0.04,0.65,0.5207669005102041,0.0025764946503866347,0.009654903628117915,0.003060239773014176
brown,2.0,0.04,0.75,0.5183221726190476,0.002500805368256837,0.007210175736961456,0.0028992813538436684
brown,2.0,0.04,0.85,0.517046662414966,0.002632500682963891,0.005934665532879822,0.002999595842200939
brown,2.0,0.04,1.0,0.5153194090136055,0.002270890208807095,0.004207412131519285,0.002521352953995331
brown,2.0,0.04,1.25,0.5179767219387755,0.0026383227874532318,0.00686472505668935,0.003024121947776375
brown,2.0,0.04,1.5,0.5150403911564625,0.0023082880814778617,0.003928394274376421,0.0028342045772695064
brown,2.0,0.04,2.0,0.5077859268707483,0.0027016427672337208,-0.0033260700113378677,0.0030855696354828515
